level_0,index,Chunk,Tag,sentence_id,Spans
0,0,Dừa lắm :)),0.0,0,[]
1,2,Bấp bênh vl thế,1.0,1,"[[9, 10]]"
2,4,Chắc cũng biết ko tồn tại đc bao lâu nữa nên cố gắng vét,1.0,2,"[[53, 55]]"
3,6,"Thấy chán ad page này kiến thức thì nông cản cái gì cũng auto sủa, cái nhìn thì tiêu cực, nói chung là dốt còn nát",1.0,3,"[[5, 8], [36, 43], [62, 64], [80, 87], [103, 105], [111, 113]]"
4,8,Giang Giang Đỗ Thị Ngọc Hà trend mới kìa kìa,0.0,4,[]
5,10,đcm 😒 sau có con cho hút cỏ chữa bệnh chứ đéo đưa đi bệnh viện 😒,1.0,5,"[[0, 2], [4, 4], [21, 26], [42, 44], [63, 63]]"
6,12,Má nứng quá aiu ơi,1.0,6,"[[0, 1], [3, 6]]"
7,14,Chụp cái ảnh thôi làm đéo gì đâu mà phiền,1.0,7,"[[22, 24]]"
8,16,Tăng theo giờ 😭😭😭,0.0,8,[]
9,18,Cực kì thuyết phục :c,0.0,9,[]
10,20,Emma Nguyen vậy mà ca ngợi bên kia lắm.,0.0,10,[]
11,21,Về làm lol gì,1.0,10,"[[7, 9]]"
12,23,Thằng chó,1.0,11,"[[0, 8]]"
13,25,Loại nghiện game + săm trổ k có tương lai đâu nha,1.0,12,"[[0, 10], [19, 25]]"
14,27,"Nhung Pham Ai chê nghèo ngta có tiền đi nước nào kệ mẹ người ta, Nó vẫn mang qtich VN thì về VN chữa VN đã cấm đâu mà lên tiếng lm gì.",1.0,13,"[[52, 53], [65, 66]]"
15,28,ÍCH KỶ,1.0,13,"[[0, 5]]"
16,30,toàn tin vớ vẩn .,0.0,14,[]
17,31,khi nào việt nam sát nhấp với trung quốc thì cả cái DNA này xách dép cho chúng ta hết .,0.0,14,[]
18,32,hãy tin vào sự lãnh đạo tài tình của đảng và bộ máy nhà nước.:3 :)),1.0,14,"[[0, 59]]"
19,34,Ủa bê đê có lol hả ta ?😂😂😂,1.0,15,"[[3, 7], [12, 14]]"
20,36,"Kéo chuột vãi lồn luôn, nó yếu lắm rồi :D",1.0,16,"[[10, 16], [24, 25]]"
21,38,Mỗi lần lên sóng là đeo vàng làm như giàu lắm hay sao mà khoe của thấy ghê.còn cái mặt mình nhìn chung ko có 1 chỗ nào thiện cảm hết.nhìn mặt là biết cái thứ đàn bà độc mồm độc miệng.hung dữ.nói tục chửi thề v.v tưởng z là hay lắm,1.0,17,"[[29, 73], [79, 131], [169, 206]]"
22,40,Làm thêm chục củ mở hòm csgo anh êi :V,0.0,18,[]
23,42,Hãnh diện về ng thầy có tâm nhất của năm.,0.0,19,[]
24,44,Vòng tiền xoay vòng lo nhìu mặt khác của xã hội chứ đâu lo cho mỗi bạn.,0.0,20,[]
25,45,Vd tiền xây biệt phủ tiền cho con đi du học.,0.0,20,[]
26,47,"12:55 sau buổi phỏng vấn này tôi sẽ múa 1 bài võ cho.choX3,14 .",0.0,21,[]
27,48,dập đĩa dữ 😂😂😂,0.0,21,[]
28,50,Du học sinh Úc pewpew,0.0,22,[]
29,52,Nói cái gì vậy mà cứ nghe đụ má đụ cha vs vàng,1.0,23,"[[26, 37]]"
30,54,Có ai thấy khá giống đầu của Jadon Sancho ko nhỉ?,0.0,24,[]
31,56,Khánh Con Sao Ko lấy số người chết của Ý ra nhỉ.,1.0,25,"[[30, 33]]"
32,57,Ý cũng là châu Âu đó.,0.0,25,[]
33,58,Hi sinh người chết vừa làm tăng miễn dịch cộng đồng vừa cho đỡ chật đất.,1.0,25,"[[0, 17], [56, 70]]"
34,59,Cách làm của Tây hay thật ta ơi 😌,0.0,25,[]
35,61,Nhịn nói sẽ bớt ngu chú ạ.hi,1.0,26,"[[16, 18]]"
36,63,Quảng Nam lại thêm 1ca nữa ạ,0.0,27,[]
37,65,Đúng là con người mày không có ý thức dân việt nam chúng ta không bao giờ con cho cái ?,1.0,28,"[[22, 36]]"
38,67,Tên bài hát còn trẻ trâu hơn cả t nhé !,1.0,29,"[[16, 23]]"
39,68,Cười vl 😁,1.0,29,"[[5, 6]]"
40,70,"Bá ý khẩu nghiệp nặng lắm nha,đầu thai ch hết khẩu nghiệp nx",1.0,30,"[[5, 15], [30, 37], [46, 56]]"
41,72,K ICM làm ca sĩ luôn rồi à 😢😢😢,0.0,31,[]
42,74,"Thôi chết mẹ, hôm nọ thì con mẹ nấm thối kêu gào ông trum ông vại này nọ,giờ lại đến idol trần dần.",1.0,32,"[[5, 11], [25, 30], [36, 39]]"
43,75,"Đang tự hỏi,không biết con mẹ nấm thối có phải là cộng sản nằm vùng không ?",1.0,32,"[[23, 28], [34, 37], [50, 66]]"
44,77,"Hải Yến bố con thần kinh, thở ra cái là thấy mùi rồi",1.0,33,"[[11, 23], [26, 47]]"
45,79,cho nó rít vài bi cần là nó ngoan vl luôn,1.0,34,"[[4, 5], [15, 20], [25, 26], [34, 35]]"
46,81,Nghĩ nó chán .,0.0,35,[]
47,82,🤔,0.0,35,[]
48,84,múa như cái biệt danh Susan : Chó :)),1.0,36,"[[30, 32]]"
49,86,Tặng cho những con bò thích làm theo và học tập theo.🤣🤣,1.0,37,"[[9, 20]]"
50,88,ʚöɞPhong Trần ʚöɞ Đoàn Chính Park Huyn Phong Tấn Đồng quê ta gọi là gì 😂😂,0.0,38,[]
51,90,Ko phải chê gì chứ khả năng win của sbtc quá cao.,0.0,39,[]
52,91,"Sela kidz clear vs petland toàn những thanh niên chuyên nghiệp try hard vkl sao những ""ông già"" bên kia chơi lại.",1.0,39,"[[72, 74], [87, 93]]"
